"""10592604"",""16"",""16530475"",""PROCESS_OF"",""C0003725"",""Arboviruses"",""virs"",""1"",""C0999630"",""Lepus capensis"",""mamm"",""1"",\N,\N,\N"
"""10592697"",""17"",""16530475"",""ISA"",""C0039258"",""Tahyna virus"",""virs"",""1"",""C0446169"",""California Group Viruses"",""virs"",""1"",\N,\N,\N"
"""10592728"",""17"",""16530475"",""ISA"",""C0318627"",""Eyach virus"",""virs"",""1"",""C0206590"",""Coltivirus"",""virs"",""1"",\N,\N,\N"
"""10592759"",""17"",""16530475"",""ISA"",""C0446169"",""California Group Viruses"",""virs"",""1"",""C0003725"",""Arboviruses"",""virs"",""1"",\N,\N,\N"
"""10592832"",""18"",""16530475"",""PROCESS_OF"",""C0012634"",""Disease"",""dsyn"",""0"",""C0020114"",""Human"",""humn"",""0"",\N,\N,\N"
"""10592873"",""18"",""16530475"",""CAUSES"",""C0042776"",""Virus"",""virs"",""1"",""C0012634"",""Disease"",""dsyn"",""0"",\N,\N,\N"
"""10593057"",""23"",""16530475"",""LOCATION_OF"",""C0999630"",""Lepus capensis"",""mamm"",""1"",""C0003241"",""Antibodies"",""aapp"",""1"",\N,\N,\N"
"""10593208"",""26"",""16530476"",""PART_OF"",""C0242210"",""Binding Protein"",""bacs"",""1"",""2273"",""FHL1"",""aapp"",""1"",\N,\N,\N"
"""10593243"",""26"",""16530476"",""PART_OF"",""C0056207|3075"",""COMPLEMENT FACTOR H|CFH"",""aapp"",""1"",""C0006034"",""Borrelia burgdorferi"",""bact"",""1"",\N,\N,\N"
"""10593287"",""26"",""16530476"",""PART_OF"",""C0242210"",""Binding Protein"",""aapp"",""1"",""C0006034"",""Borrelia burgdorferi"",""bact"",""1"",\N,\N,\N"
"""10593621"",""34"",""16530477"",""PART_OF"",""7523"",""XS"",""gngm"",""1"",""C0006034"",""Borrelia burgdorferi"",""bact"",""1"",\N,\N,\N"
"""10593815"",""39"",""16530477"",""PRODUCES"",""7523"",""XS"",""gngm"",""1"",""C0019878"",""homocysteine"",""aapp"",""1"",\N,\N,\N"
"""10593856"",""39"",""16530477"",""INTERACTS_WITH"",""C0004611"",""Bacteria"",""bact"",""1"",""C0025646"",""Methionine"",""aapp"",""1"",\N,\N,\N"
