1001,,,,,"Evaluation of granulated fenbendazole (22.2%) against induced and naturally occurring helminth infections in cats.",,,,
1002,,,,,"This study investigated worm control practices by free-range egg farmers and the efficacy of the commercial anthelmintics levamisole (LEV), piperazine (PIP), flubendazole (FLBZ) and fenbendazole (FBZ) against gastrointestinal nematodes on two free-range layer farms in Australia.",,,,
1003,,,,,"Fenbendazole resistance in O. ostertagi was confirmed with a total treatment failure in reducing worm burden: efficacy of 0%.",,,,
1004,,,,,"[The treatment of helminthiasis with thiabendazole].",,,,
1005,,,,,"Symptoms of perianal itching and visualization of visible motile worms persisted for 6 months despite being treated with multiple courses of albendazole causing a lot of frustration and distress to the caregivers.",,,,
1006,,,,,"Ovicidal effects of albendazole in human ascariasis, ancylostomiasis and trichuriasis.",,,,
1007,,,,,"A combination of drugs Ivermectin, Diethylcarbamazine citrate and Albendazole is recommended by WHO to accelerate the Global Programme to Eliminate Lymphatic Filariasis (GPELF).",,,,
1008,,,,,"Effect of albendazole in experimental toxocariasis of mice.",,,,
1009,,,,,"Given the low helminth prevalence in our children, the effect of albendazole on malaria is likely to be direct.",,,,
1010,,,,,"Mass co-administration of ivermectin and albendazole by the LFEP had a significant effect on STH, which was further amplified by treatment with praziquantel and albendazole 4 months later.",,,,
1011,,,,,"The effect of single dose ivermectin alone or in combination with albendazole on Wuchereria bancrofti infection in primary school children in Tanzania.",,,,
1012,,,,,"The control of STH infections is based on preventive chemotherapy using either albendazole or mebendazole.",,,,
1013,,,,,"A double-blind clinical trial was conducted in Monagas State, Venezuela to assess the tolerance and efficacy of albendazole in the therapy of Onchocerca volvulus infection.",,,,
1014,,,,,"The treatment of cutaneous larva migrans and Toxocara infection relies on antihelminthic agents such as thiabendazole, albendazole and ivermectin.",,,,
1015,,,,,"Three randomized clinical studies were conducted in 2000 to evaluate the efficacy of nitazoxanide paediatric suspension compared to albendazole in the treatment of ascariasis and trichuriasis and praziquantel in the treatment of hymenolepiasis in children from Cajamarca, Peru.",,,,
1016,,,,,"Today, the only way is the prophylactic control of Onchocerca vovulus infections and treating lymphatic filariosis with ivermectin, diethylcarbamacine, ivermectin/diethylcarbamazine. or ivermectin/albendazole combinations.",,,,
1017,,,,,"The study population was assessed for helminthic infection and those found to be positive were randomly assigned to either an albendazole treatment group or a control group who received a placebo.",,,,
1018,,,,,"To determine the host factors involved in response to treatment, 46 patients with strongyloidiasis were treated with albendazole, followed-up for 1 year, and separated into two groups: cured and non-cured.",,,,
1019,,,,,"The role of albendazole in programmes to eliminate lymphatic filariasis.",,,,
1020,,,,,"On the basis of our results the single 400 mg dose of albendazole is the treatment of choice for hookworm infections in this region of Mali.",,,,
1021,,,,,"The efficacy of albendazole (15 mg/kg/d for 1 week) was compared with praziquantel (100 mg/kg in three divided doses at 2-hour intervals) for therapy of parenchymal brain cysticercosis.",,,,
1022,,,,,"Additionally, compared with albendazole, it resulted in a significant reduction in adult worm and total larval counts; moreover, it caused a decrease in the number of larvae deposited in muscles, with a highly significant decrease in the inflammatory cell infiltrate around the larvae and a considerable decrease in the expression of the angiogenic marker vascular endothelial growth factor in muscles.",,,,
1023,,,,,"Quarterly albendazole during childhood was associated with reduced incidence of clinical malaria (HR 0.85 (95% CI 0.73-0.98), p = 0.03).",,,,
1024,,,,,"CONCLUSIONS: Mebendazole and albendazole showed reduced efficacy against Ascaris lumbricoides and hookworm infections at the recommended doses.",,,,
1025,,,,,"Evaluation of effectiveness of diethylcarbamazine/albendazole combination in reduction of Wuchereria bancrofti infection using multiple infection parameters.",,,,
1026,,,,,"Our evaluation suggests that although additional studies are needed to determine optimal treatment regimens for intestinal parasites, especially among young children and pregnant women, a five-day course of pre-departure albendazole was effective in reducing helminthic infection in treated refugees.",,,,
1027,,,,,"Clinical efficacy and safety of a new oxacephem, moxalactam, in serious bacterial infections.",,,,
1028,,,,,"The purpose of this study was the development and validation of an LC-MS-MS method for simultaneous analysis of ibuprofen (IBP), 2-hydroxyibuprofen (2-OH-IBP) enantiomers, and carboxyibuprofen (COOH-IBP) stereoisomers in fungi culture medium, to investigate the ability of some endophytic fungi to biotransform the chiral drug IBP into its metabolites.",,,,
1029,,,,,"AIMS: To carry out a randomized clinical trial to compare the effect of palmitoylethanolamide (PEA) versus ibuprofen, a nonsteroidal anti-inflammatory drug (NSAID), for pain relief in temporomandibular joint (TMJ) osteoarthritis or arthralgia.",,,,
1030,,,,,"We investigated the analgesic efficacy of single doses of ibuprofen, tramadol and pregabalin in menthol-evoked cold pain in a randomized, placebo-controlled four-way cross-over study in 20 healthy volunteers.",,,,
1031,,,,,"Double blind study on emorfazone and ibuprofen in dental pain and inflammation.",,,,
1032,,,,,"Glucosamine sulfate compared to ibuprofen in osteoarthritis of the knee.",,,,
1033,,,,,"INTRODUCTION: The anti-inflammatory and anticoagulant effects of ibuprofen and heparin may enhance skin perfusion in cutaneous scald burns.",,,,
1034,,,,,"CONCLUSIONS: Ibuprofen-induced patent ductus arteriosus closure improved pulmonary mechanics, decreased total lung water, increased epithelial sodium channel expression, and decreased the detrimental effects of preterm birth on alveolarization.",,,,
1035,,,,,"Protein profile in neuroblastoma cells incubated with S- and R-enantiomers of ibuprofen by iTRAQ-coupled 2-D LC-MS/MS analysis: possible action of induced proteins on Alzheimer's disease.",,,,
1036,,,,,"Protective effect of glucosamine against ibuprofen-induced peptic ulcer in rats.",,,,
1037,,,,,"Ibuprofen-induced fever in Sjogren's syndrome.",,,,
1038,,,,,"There have been no prior definite cases reported of ibuprofen-induced pancreatitis.",,,,
1039,,,,,"RESULTS: None of the studies established any of the COX-2 inhibitors as clearly better than ibuprofen, the current gold standard for the treatment of surgically induced dental pain.",,,,
1040,,,,,"Noncardiogenic pulmonary edema due to ibuprofen.",,,,
1041,,,,,"In a double-blind cross-over study on 22 healthy subjects the analgesic efficacies of the antipyretic analgesic drugs ibuprofen, dipyrone and paracetamol were tested against placebo using a model of experimentally induced pain.",,,,
1042,,,,,"Unaltered ibuprofen-induced faecal blood loss upon coadministration of moclobemide.",,,,
1043,,,,,"The C5a antagonist (1 or 3 mg/kg/day) and/or ibuprofen (30 mg/kg/day) were administered orally on a daily basis either before or after arthritis induction.",,,,
1044,,,,,"RESULTS: Ketoprofen 50 mg t.d.s. suppressed prostaglandin synthesis to a significantly greater extent than ibuprofen and caused significantly more gastroduodenal injury.",,,,
1045,,,,,"The duration of action of sustained-release ibuprofen ('Brufen Retard') was investigated in a 14-day double-blind study involving 14 osteoarthritis and 10 rheumatoid arthritis patients.",,,,
1046,,,,,"This study attempts to investigate the effect of ibuprofen on reducing eye pain and migraine headaches caused by trochleitis.",,,,
1047,,,,,"Ibuprofen suppresses the production of various pro-inflammatory cytokines that are implicated in the ""cytokine storm"" and subsequent ARDS in COVID-19 disease.",,,,
1048,,,,,"After adjusting for covariates, the risk of BPD was associated independently with ibuprofen exposure (odds ratios (OR) 2.296, 95% confidence interval (CI): 1.166-4.522, p = 0.016).",,,,
1049,,,,,"The opposite effect of ibuprofen on ethanol-induced cognitive impairment as measured by two lateralized functions is consistent with the reports in tissue and animal models that central nervous system effects of ethanol may be mediated at least in part by prostaglandins.",,,,
1,,,,,"METHOD: These findings are extracted from a wider research study exploring congruence between service providers from a range of professional groups and service users regarding their endorsement of treatments for chronic pain.",,,,
2,,,,,"Recognition by the American Heart Association that obesity is a major modifiable risk factor for coronary heart disease has prompted health providers to take a more active role in obesity management.",,,,
3,,,,,"Descriptive analyses and qualitative constant comparison methodology revealed individuals use local recreational facilities, senior centers, shopping centers, religious organizations, medical providers, pharmacies and their social network for OA management.",,,,
4,,,,,"Partnerships between researchers, policy makers, service providers, and families must be developed to address system barriers and build capacity in youth with CP and their communities.",,,,
5,,,,,"We report findings from a qualitative interview study with stroke service providers undertaken during an investigation of inequalities in stroke care.",,,,
6,,,,,"Mental health providers who just several years ago sought carve outs for their services now say psychological issues are critical factors in the treatment of diseases such as cancer and heart disease, and must be integrated with other clinical services to achieve optimum outcomes and financial savings.",,,,
7,,,,,"The percentages of respondents who reported having visited a medical provider for asthma-like symptoms in the previous year did not differ.",,,,
8,,,,,"Patients of trained providers had a significant reduction in usual pain over the 4 months of data collection compared with patients of untrained providers (t = 2.0; p = .05).",,,,
9,,,,,"Treatment with fenbendazole at a dose of 10mg/kg for 3 consecutive days, successfully cleared the infection.",,,,
10,,,,,"This study investigated worm control practices by free-range egg farmers and the efficacy of the commercial anthelmintics levamisole (LEV), piperazine (PIP), flubendazole (FLBZ) and fenbendazole (FBZ) against gastrointestinal nematodes on two free-range layer farms in Australia.",,,,
