10592604,16,16530475,PROCESS_OF,C0003725,Arboviruses,virs,1,C0999630,Lepus capensis,mamm,1,\N,\N,\N
10592697,17,16530475,ISA,C0039258,Tahyna virus,virs,1,C0446169,California Group Viruses,virs,1,\N,\N,\N
10592728,17,16530475,ISA,C0318627,Eyach virus,virs,1,C0206590,Coltivirus,virs,1,\N,\N,\N
10592759,17,16530475,ISA,C0446169,California Group Viruses,virs,1,C0003725,Arboviruses,virs,1,\N,\N,\N
10592832,18,16530475,PROCESS_OF,C0012634,Disease,dsyn,0,C0020114,Human,humn,0,\N,\N,\N
10592873,18,16530475,CAUSES,C0042776,Virus,virs,1,C0012634,Disease,dsyn,0,\N,\N,\N
10593057,23,16530475,LOCATION_OF,C0999630,Lepus capensis,mamm,1,C0003241,Antibodies,aapp,1,\N,\N,\N
10593208,26,16530476,PART_OF,C0242210,Binding Protein,bacs,1,2273,FHL1,aapp,1,\N,\N,\N
10593243,26,16530476,PART_OF,C0056207|3075,COMPLEMENT FACTOR H|CFH,aapp,1,C0006034,Borrelia burgdorferi,bact,1,\N,\N,\N
10593287,26,16530476,PART_OF,C0242210,Binding Protein,aapp,1,C0006034,Borrelia burgdorferi,bact,1,\N,\N,\N
10593621,34,16530477,PART_OF,7523,XS,gngm,1,C0006034,Borrelia burgdorferi,bact,1,\N,\N,\N
10593815,39,16530477,PRODUCES,7523,XS,gngm,1,C0019878,homocysteine,aapp,1,\N,\N,\N
10593856,39,16530477,INTERACTS_WITH,C0004611,Bacteria,bact,1,C0025646,Methionine,aapp,1,\N,\N,\N
10593932,40,16530477,AFFECTS,C0031516,Pheromone,bacs,1,C0017262,Gene Expression,genf,1,\N,\N,\N
10594285,50,16530478,TREATS,C0718782,B.S.S.,phsu,1,C0001675,Adult,aggp,1,\N,\N,\N
10594435,53,16530478,PART_OF,C1167395,host,celc,1,C0042567,Vertebrates,vtbt,0,\N,\N,\N
10594472,53,16530478,AFFECTS,C0718782,B.S.S.,inch,1,C1167395,host,celc,1,\N,\N,\N
10594584,55,16530479,ISA,C0162318,Farm Animals,anim,1,C0003062,Animals,anim,0,\N,\N,\N
10594689,57,16530479,PROCESS_OF,C0012634,Disease,dsyn,0,C0162318,Farm Animals,anim,1,\N,\N,\N
